ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF209K01165,100033,GR,OMF,9,915.80
INF209K01157,100034,DP,OMF,9,132.94
INF209K01CE5,100034,DR,OMF,9,132.94
INF209K01587,100037,DP,OMF,9,13.11
INF209K01CY3,100037,DR,OMF,9,13.11
INF209K01579,100038,GR,OMF,9,126.88
INF209K01ME4,100042,GR,GMF,10,706.67
INF209K01RT1,100043,GR,GMF,10,725.19
INF209K01KQ2,100046,DP,GMF,10,100.20
INF209K01SQ5,100046,DR,GMF,10,100.20
INF209K01RU9,100047,GR,GMF,10,435.47
INF209K01KU4,100051,DP,GMF,10,100.36
INF209KA1LJ9,100051,DR,GMF,10,100.36
INF209K01AF6,100057,DP,GMF,10,10.89
INF209K01DP9,100057,DR,GMF,10,10.89
INF209K01AC3,100058,DP,GMF,10,80.47
INF209K01AD1,100058,DR,GMF,10,80.47
INF209K01314,100063,DP,OMF,9,223.38
INF209K01CL0,100063,DR,OMF,9,223.38
INF209K01322,100064,GR,OMF,9,1293.37
INF740K01565,100077,DP,OMF,9,11.91
INF740K01995,100077,DR,OMF,9,11.91
INF740K01557,100078,GR,OMF,9,84.08
INF740K01011,100080,DP,OMF,9,64.04
INF740K01029,100080,DR,OMF,9,64.04
INF740K01318,100081,GR,OMF,9,356.88
INF740K01326,100082,DP,OMF,9,28.53
INF740K01334,100082,DR,OMF,9,28.53
INF740K01615,100084,GR,GMF,10,96.35
INF740K01714,100087,GR,GMF,10,54.55
INF179K01830,100119,GR,OMF,9,530.66
INF179K01814,100120,DP,OMF,9,38.34
INF179K01822,100120,DR,OMF,9,38.34
INF179K01947,100123,DP,OMF,9,11.40
INF179K01954,100123,DR,OMF,9,11.40
INF179K01962,100124,GR,OMF,9,58.88
INF966L01119,100174,DP,OMF,9,51.20
INF966L01135,100175,GR,OMF,9,368.72
INF206A01022,100176,DP,OMF,9.07,191.74
INF966L01044,100176,DR,OMF,9.07,191.74
INF966L01AA0,100177,GR,OMF,9.07,241.10
INF192K01585,100218,DP,OMF,9,30.25
INF192K01593,100218,DR,OMF,9,30.25
INF192K01601,100219,GR,OMF,9,155.84
INF192K01528,100220,DP,OMF,9,33.09
INF192K01536,100220,DR,OMF,9,33.09
INF192K01544,100221,GR,OMF,9,118.31
INF192K01999,100222,DP,OMF,9,21.53
INF192K01AA5,100222,DR,OMF,9,21.53
INF192K01AB3,100223,GR,OMF,9,63.32
INF192K01882,100234,GR,GMF,10,73.70
INF192K01866,100244,DP,GMF,10,41.71
INF192K01874,100244,DR,GMF,10,41.71
INF137A01037,100254,GR,OMF,9,92.70
INF174K01FK1,100264,DP,GMF,10,18.59
INF174K01FJ3,100264,DR,GMF,10,18.59
INF174K01FI5,100265,GR,GMF,10,95.13
INF174K01FL9,100281,GR,GMF,10,97.33
INF174K01450,100286,DP,OMF,9,37.35
INF174K01443,100286,DR,OMF,9,37.35
INF174K01EM0,100299,GR,OMF,9,77.77
INF174K01EQ1,100300,DP,OMF,9,47.65
INF174K01EP3,100300,DR,OMF,9,47.65
INF767K01063,100312,DP,OMF,9,31.25
INF767K01055,100312,DR,OMF,9,31.25
INF767K01071,100313,GR,OMF,9,99.04
INF767K01907,100314,DP,OMF,9,16.14
INF767K01915,100314,DR,OMF,9,16.14
INF767K01923,100315,GR,OMF,9,73.64
INF767K01683,100316,DP,GMF,10,17.03
INF767K01691,100316,DR,GMF,10,17.03
INF767K01709,100317,GR,GMF,10,59.09
INF767K01733,100319,GR,GMF,10,34.13
INF767K01022,100321,DP,OMF,9,15.46
INF767K01014,100321,DR,OMF,9,15.46
INF767K01030,100323,GR,OMF,9,196.16
INF767K01964,100325,DR,OMF,9,35.98
INF767K01097,100332,DP,OMF,9,33.75
INF767K01089,100332,DR,OMF,9,33.75
INF109K01EQ7,100348,DP,OMF,9,30.42
INF109K01449,100348,DR,OMF,9,30.42
INF109K01431,100349,GR,OMF,9,1036.58
INF109K01EO2,100351,DP,OMF,9,80.77
INF109K01423,100351,DR,OMF,9,80.77
INF109K01415,100352,GR,OMF,9,437.01
INF109K01FN1,100353,DP,OMF,9,23.09
INF109K01464,100354,GR,OMF,9,948.28
INF109K01DX5,100355,DP,OMF,9,44.50
INF109K01498,100355,DR,OMF,9,44.50
INF109K01480,100356,GR,OMF,9,409.36
INF109K01506,100363,GR,OMF,9,200.08
INF109K01365,100365,GR,OMF,9,90.60
INF109K01EZ8,100367,DP,OMF,9,12.41
INF109K01399,100367,DR,OMF,9,12.41
INF109K01JQ6,100368,DP,GMF,10,18.12
INF109K01JP8,100368,DR,GMF,10,18.12
INF109K01JR4,100369,GR,GMF,10,105.11
INF204K01299,100375,DP,OMF,9.59,123.62
INF204K01307,100375,DR,OMF,9.59,123.62
INF204K01315,100376,GR,OMF,9,708.47
INF204K01323,100377,GR,OMF,9,4255.81
INF204K01372,100378,DP,OMF,9.46,61.50
INF204K01380,100378,DR,OMF,9.46,61.50
INF204K01398,100379,GR,OMF,9,249.23
INF204K01406,100380,GR,OMF,9,1479.74
INF204K01CN7,100383,DP,OMF,9,10.82
